node1,node2,radius
[0.65671718 0.03002767 0.01067702],[0.62320093 0.         0.01067702],0.009384221823627662
[0.68128052 0.05256073 0.01055596],[0.65671718 0.03002767 0.01067702],0.009372968585941843
[0.65238997 0.05653527 0.01179485],[0.65671718 0.03002767 0.01067702],0.0024685262707215827
[0.71058149 0.06690197 0.00862023],[0.68128052 0.05256073 0.01055596],0.006476918408063809
[0.68287488 0.07975443 0.00307641],[0.68128052 0.05256073 0.01055596],0.007722954094141133
[0.64635194 0.08210869 0.00872722],[0.65238997 0.05653527 0.01179485],0.0024066172832028607
[ 0.65049386  0.07514224 -0.00574503],[0.65238997 0.05653527 0.01179485],0.0008333333333333334
[0.73894348 0.08178537 0.00745129],[0.71058149 0.06690197 0.00862023],0.006427245950564094
[ 7.23558113e-01  9.02034703e-02 -6.87296584e-04],[0.71058149 0.06690197 0.00862023],0.0013812465444843806
[ 6.86500981e-01  1.07099694e-01 -1.93556918e-04],[0.68287488 0.07975443 0.00307641],0.007712580350361927
[0.66810115 0.09583346 0.00104691],[0.68287488 0.07975443 0.00307641],0.0008333333333333334
[0.64392595 0.1080299  0.00933891],[0.64635194 0.08210869 0.00872722],0.002093778992571878
[6.38032999e-01 9.21547148e-02 4.79648235e-04],[0.64635194 0.08210869 0.00872722],0.0014987377253158807
[0.76523639 0.09878592 0.0045273 ],[0.73894348 0.08178537 0.00745129],0.006019340489080535
[0.74214829 0.09506463 0.00758934],[0.73894348 0.08178537 0.00745129],0.003085826626509417
[7.31136870e-01 1.01082816e-01 7.19847014e-04],[ 7.23558113e-01  9.02034703e-02 -6.87296584e-04],0.0008333333333333334
[0.71634679 0.10131494 0.00083256],[ 7.23558113e-01  9.02034703e-02 -6.87296584e-04],0.0012171478171303508
[ 0.68638736  0.1344095  -0.0010155 ],[ 6.86500981e-01  1.07099694e-01 -1.93556918e-04],0.007702184934033655
[0.6979108  0.11192706 0.01384915],[ 6.86500981e-01  1.07099694e-01 -1.93556918e-04],0.0008333333333333334
[0.64329794 0.12884484 0.00994853],[0.64392595 0.1080299  0.00933891],0.0018696634062415004
[0.65244943 0.11572218 0.00255976],[0.64392595 0.1080299  0.00933891],0.0012171478171303508
[0.62584975 0.09752485 0.00119234],[6.38032999e-01 9.21547148e-02 4.79648235e-04],0.0012171478171303508
[0.64208279 0.10251303 0.00783372],[6.38032999e-01 9.21547148e-02 4.79648235e-04],0.0010583326651951185
[0.792004   0.11399973 0.00237483],[0.76523639 0.09878592 0.0045273 ],0.004828723372043082
[0.77801901 0.09372929 0.00539967],[0.76523639 0.09878592 0.0045273 ],0.0043230092988628555
[0.74229322 0.1085916  0.00681077],[0.74214829 0.09506463 0.00758934],0.002763725441126139
[0.73647511 0.10649352 0.01145884],[0.74214829 0.09506463 0.00758934],0.0017777385704942133
[7.03283086e-01 1.03893688e-01 1.48848890e-04],[0.71634679 0.10131494 0.00083256],0.0008333333333333334
[7.20437624e-01 1.13997031e-01 3.77254252e-04],[0.71634679 0.10131494 0.00083256],0.0010583326651951185
[ 6.82350340e-01  1.60543205e-01 -2.40793966e-04],[ 0.68638736  0.1344095  -0.0010155 ],0.006857286354533089
[0.70450072 0.15287825 0.00198107],[ 0.68638736  0.1344095  -0.0010155 ],0.004516853151371677
[0.64395645 0.14215244 0.00944672],[0.64329794 0.12884484 0.00994853],0.0016838140183915121
[0.63257293 0.13468589 0.00459745],[0.64329794 0.12884484 0.00994853],0.0010583326651951185
[0.66519956 0.11960042 0.002146  ],[0.65244943 0.11572218 0.00255976],0.0010583326651951185
[0.65181468 0.12891268 0.0007198 ],[0.65244943 0.11572218 0.00255976],0.0008333333333333334
[0.61619612 0.10672096 0.00132125],[0.62584975 0.09752485 0.00119234],0.0010583326651951185
[0.61951639 0.09045242 0.01055434],[0.62584975 0.09752485 0.00119234],0.0008333333333333334
[0.64495855 0.11469503 0.01242791],[0.64208279 0.10251303 0.00783372],0.0008333333333333334
[ 0.64449879  0.11192273 -0.00129854],[0.64208279 0.10251303 0.00783372],0.0008333333333333334
[0.80843628 0.12508468 0.0032581 ],[0.792004   0.11399973 0.00237483],0.004685205551742507
[0.80311941 0.11772143 0.00872893],[0.792004   0.11399973 0.00237483],0.0017398756057402927
[0.78948616 0.08717905 0.00356209],[0.77801901 0.09372929 0.00539967],0.004297419087276769
[0.77759499 0.08064939 0.00795194],[0.77801901 0.09372929 0.00539967],0.0008333333333333334
[0.74343212 0.12196535 0.00610197],[0.74229322 0.1085916  0.00681077],0.002369493921963193
[0.75402302 0.11314214 0.01122464],[0.74229322 0.1085916  0.00681077],0.0017777385704942131
