node1,node2,radius
[0.05432572 0.04120006 0.01220381],[0.0724242  0.         0.01220381],0.004129784191815318
[0.04634871 0.07268597 0.00860236],[0.05432572 0.04120006 0.01220381],0.003937630608790198
[0.02968009 0.05708137 0.00709032],[0.05432572 0.04120006 0.01220381],0.0026654282235010437
[0.03388784 0.10221525 0.00842147],[0.04634871 0.07268597 0.00860236],0.0038133988044858815
[0.05783965 0.0794323  0.0081302 ],[0.04634871 0.07268597 0.00860236],0.0014515864092318597
[0.00786335 0.07430089 0.00204049],[0.02968009 0.05708137 0.00709032],0.0019353872626057967
[0.01772712 0.05119677 0.00761559],[0.02968009 0.05708137 0.00709032],0.0021201542752471705
[0.01950919 0.13014206 0.00991571],[0.03388784 0.10221525 0.00842147],0.003635798876050506
[0.04036927 0.11328348 0.00477959],[0.03388784 0.10221525 0.00842147],0.0016301661512080315
[0.07053935 0.08279728 0.00585591],[0.05783965 0.0794323  0.0081302 ],0.0013440816362628033
[0.0616445  0.09220882 0.00837833],[0.05783965 0.0794323  0.0081302 ],0.0008333333333333334
[0.00200776 0.08624138 0.00108417],[0.00786335 0.07430089 0.00204049],0.0018435135758920393
[0.00143838 0.06844543 0.01215044],[0.00786335 0.07430089 0.00204049],0.0008333333333333334
[0.01265709 0.03886882 0.00730879],[0.01772712 0.05119677 0.00761559],0.002018074297974861
[0.00644321 0.0455196  0.00334702],[0.01772712 0.05119677 0.00761559],0.0010583326651951185
[0.00392524 0.15605574 0.01188937],[0.01950919 0.13014206 0.00991571],0.0024057782434462813
[0.02374983 0.142455   0.00705455],[0.01950919 0.13014206 0.00991571],0.0030727453733831174
[0.04109114 0.12645531 0.00284067],[0.04036927 0.11328348 0.00477959],0.0013440816362628033
[0.05149217 0.11805421 0.01037414],[0.04036927 0.11328348 0.00477959],0.0012171478171303508
[0.08094733 0.08951662 0.01078564],[0.07053935 0.08279728 0.00585591],0.0012171478171303508
[ 0.07160273  0.09424264 -0.00090063],[0.07053935 0.08279728 0.00585591],0.0008333333333333334
[0.06219399 0.1042795  0.01401522],[0.0616445  0.09220882 0.00837833],0.0008333333333333334
[0.00207146 0.09804319 0.00728828],[0.00200776 0.08624138 0.00108417],0.0017777385704942133
[0.00303428 0.0867779  0.0143671 ],[0.00200776 0.08624138 0.00108417],0.0008333333333333334
[0.0098235  0.02584027 0.00738177],[0.01265709 0.03886882 0.00730879],0.0014515864092318597
[0.02052187 0.02819609 0.0087286 ],[0.01265709 0.03886882 0.00730879],0.001706982600414994
[-3.98959341e-03  3.78965645e-02  5.70689834e-05],[0.00644321 0.0455196  0.00334702],0.0008333333333333334
[-0.00093838  0.03521595  0.00748525],[0.00644321 0.0455196  0.00334702],0.0008333333333333334
[0.00234028 0.1691068  0.00966776],[0.00392524 0.15605574 0.01188937],0.0023412607633166455
[ 0.004524    0.16035925 -0.00071615],[0.00392524 0.15605574 0.01188937],0.0008333333333333334
[0.03341619 0.15156025 0.00825196],[0.02374983 0.142455   0.00705455],0.002998824969690953
[0.02615173 0.1554455  0.00525027],[0.02374983 0.142455   0.00705455],0.0012171478171303508
[0.04699422 0.13831473 0.00132885],[0.04109114 0.12645531 0.00284067],0.0012171478171303508
